epoch,train_loss,val_acc,seconds
1,1.389893,0.380000,18.641
2,1.171386,0.360000,5.633
3,1.068345,0.500000,5.678
4,1.029367,0.660000,6.083
5,0.995660,0.720000,5.523
6,0.933287,0.560000,5.313
7,0.923882,0.620000,5.405
8,0.908766,0.720000,5.448
9,0.844585,0.680000,5.395
10,0.849454,0.760000,5.358
11,0.776577,0.780000,5.327
12,0.766243,0.680000,5.269
13,0.716626,0.740000,5.415
14,0.744126,0.720000,5.423
15,0.746972,0.780000,5.512
16,0.698395,0.800000,5.459
17,0.645953,0.780000,5.347
18,0.621800,0.760000,5.378
19,0.606202,0.700000,5.370
20,0.618464,0.700000,5.473
21,0.627893,0.760000,5.459
22,0.587879,0.820000,5.235
23,0.530015,0.800000,5.381
24,0.586103,0.800000,5.472
25,0.579228,0.780000,5.384
26,0.547873,0.780000,5.475
27,0.547319,0.700000,5.488
28,0.549045,0.820000,5.475
29,0.482064,0.700000,5.421
30,0.564928,0.700000,5.337
