epoch,train_loss,val_acc,seconds
1,1.389893,0.380000,6.902
2,1.171493,0.380000,5.515
3,1.068704,0.480000,5.461
4,1.030178,0.640000,5.378
5,0.997503,0.700000,5.496
6,0.936168,0.580000,5.434
7,0.927360,0.620000,5.783
8,0.915250,0.740000,6.133
9,0.854129,0.640000,5.692
10,0.859256,0.740000,5.423
11,0.791043,0.760000,5.545
12,0.785185,0.680000,5.529
13,0.744110,0.720000,5.516
14,0.766194,0.760000,5.595
15,0.777487,0.740000,5.636
16,0.731033,0.760000,5.622
17,0.695314,0.700000,5.758
18,0.676000,0.720000,5.659
19,0.653829,0.760000,5.512
20,0.667095,0.780000,5.564
21,0.689348,0.800000,5.453
22,0.653274,0.800000,5.451
23,0.617278,0.740000,5.363
24,0.666728,0.780000,5.487
25,0.674199,0.800000,5.424
26,0.637637,0.780000,5.518
27,0.641883,0.800000,5.587
28,0.653476,0.800000,5.509
29,0.619409,0.800000,5.477
30,0.679832,0.800000,5.485
